City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Bukama,CD,2021-07-20 22:15:51,-9.2,25.85,70.14,38,0,2.39
273,Kandrian,PG,2021-07-20 22:15:51,-6.2167,149.55,78.19,89,97,5.17
274,Kushmurun,KZ,2021-07-20 22:15:52,52.4503,64.6311,66.16,68,48,2.15
275,Aranos,NA,2021-07-20 22:15:52,-24.1333,19.1167,48.78,55,96,10.96
276,Asau,RO,2021-07-20 22:15:52,46.4333,26.4,65.95,93,68,3.62
277,Iskateley,RU,2021-07-20 22:15:53,67.6803,53.1512,55.85,77,98,7.14
278,Leh,IN,2021-07-20 22:15:53,34.1667,77.5833,58.01,64,22,4.0
279,Emerald,AU,2021-07-20 22:15:53,-23.5333,148.1667,52.34,60,0,10.78
280,Dekar,BW,2021-07-20 22:15:54,-21.5333,21.9333,51.44,31,0,7.14
281,Kloulklubed,PW,2021-07-20 22:15:54,7.0419,134.2556,83.68,74,75,8.37
282,Malitbog,PH,2021-07-20 22:15:54,8.5339,124.8831,75.15,79,80,3.04
283,Lanigan,CA,2021-07-20 22:15:55,51.8501,-105.0344,78.69,40,55,11.1
284,Kaitangata,NZ,2021-07-20 22:15:55,-46.2817,169.8464,43.93,79,84,5.01
285,Milkovo,RU,2021-07-20 22:15:55,54.7167,158.6167,67.26,69,94,3.74
286,Otradnoye,RU,2021-07-20 22:15:56,59.7775,30.8181,59.18,95,87,5.77
287,Berlevag,NO,2021-07-20 22:15:56,70.8578,29.0864,42.75,87,75,16.11
288,Ialibu,PG,2021-07-20 22:15:56,-6.2821,143.9935,57.63,97,94,0.67
289,Ferrol,ES,2021-07-20 22:15:57,43.4832,-8.2369,66.45,88,55,3.31
290,Tucuman,AR,2021-07-20 22:15:57,-26.8241,-65.2226,62.6,48,0,3.44
291,Vestmannaeyjar,IS,2021-07-20 22:15:57,63.4427,-20.2734,52.68,93,67,12.28
292,Flinders,AU,2021-07-20 22:15:58,-34.5833,150.8552,51.19,58,94,4.0
293,Baturaja,ID,2021-07-20 22:15:58,-4.1333,104.1667,73.27,96,97,2.04
